ClientId,NomeUtente,DataRinnovo
405439690075013121,=BIA= hackz0r#3621,01/01/1900
395621400372838400,=BIA= Jackal#8483,01/01/1900
493163143112163339,=BIA=GiaMoy#9873,01/01/1900
513359266334375948,=BIA=CowboyFromHell#7005,01/01/1900
480822111938805764,=BIA=V!rgil#7282,01/01/1900
266221073949917185,CMDR BIA CamiOon#4015,01/01/1900
277905689769410570,geralt_ITALY#1073,01/01/1900
338253123002957835,=BIA=Cornwallis#3818,01/01/1900
328921727440781312,=BIA=Sn4ke#1004,01/01/1900
526429497247924254,Grifo104#2272,01/01/1900
260504154571669514,(BIA)Flux Deluxe#1873,01/01/1900
376728519809433602,rob#1380,01/01/1900
157881052063465472,=BIA=xEjokey#1264,01/01/1900
496772024765644801,=BIA= MalaRazza89#2668,01/01/1900
528350579622412288,=BIA= Clan bot#4559,01/01/1900
377968218171506698,Luc1#7992,01/01/1900
526498944189071373,911LM#7373,01/01/1900
528343336268857358,=BIA=Juicymango#1059,01/01/1900
395521942654025729,=BIA= SpiderPorkPotter#7938,01/01/1900
223413386623320065,!  Iaket#2272,01/01/1900
204533124883939328,=BIA=Cicuz#9767,01/01/1900
185817020690989056,yoichisan#9945,01/01/1900
241673117049683977,Perux#4722,01/01/1900
469178127101329408,Taffo#2741,01/01/1900
445356594805342208,=BIA=sbrenza#3960,01/01/1900
478110171378352129,=BIA= Avivo#8375,01/01/1900
274341775735259137,ekeron#8520,01/01/1900
284363877028724737,gregghe#5898,01/01/1900
296319792464265216,CMDR BIA Aquila56#2572,01/01/1900
522479366530269207,moly#3721,01/01/1900
525321447611301955,CMDR BIA Aquila56#3709,01/01/1900
411153636706746368,=BIA=Garibaldi#7616,01/01/1900
161474568266055684,Skorpion#5825,01/01/1900
424601821370253316,Chiron49#9913,01/01/1900
274891922479251456,Agascio#0152,01/01/1900
276735998891786242,=BIA= Alekeya#4182,01/01/1900
374272830461706241,PaulFoley#7956,01/01/1900
218395159816175626,xGRIDO ( Mirko )#6666,01/01/1900
311601131254054912,=BIA= Cobra#6453,01/01/1900
346393591158931456,Orval#6089,01/01/1900
527473814146121734,Proxima#6209,01/01/1900
266245254292701184,[iITA]=BIA=Juicymango#4539,01/01/1900
129748533032124416,BlackOut#5812,01/01/1900
360439274115563525,LongKnife30#3555,01/01/1900
356873959381139470,Ric_Cal#2316,01/01/1900
526297430728114186,=BIA=UldeUlde#5737,01/01/1900
326770884347953173,=BIA=Alitank#2830,01/01/1900
316323445942124545,Redsniper#9934,01/01/1900
380636597743255563,=BIA=Canemalato#5813,01/01/1900
318010771034603520,=BIA= Lastman#9693,01/01/1900
296341131774656514,Mastergiven#2870,01/01/1900
213940185694470144,= BIA = Odhinn#7120,01/01/1900
529020855301308446,=BIA= DitoSbattO#3177,01/01/1900
241673076259946496,=BIA= Ethindar Lexius#0590,01/01/1900
530137560580751390,bslogan#2082,01/01/1900
279355024075915267,cucHor#3152,01/01/1900
277879254925049856,(BIA)LORENZEIT#5910,01/01/1900
517390997844394014,(BIA)Sgrello92#6177,01/01/1900
511971897127206912,Hysteria_On_Fire#2578,01/01/1900
453108331976851456,[=BIA=]stegiu17#8230,01/01/1900
359764710301630468,=BIA=venomkiller991#3484,01/01/1900
528572946378129411,LedGirl88#2819,01/01/1900
526325103861170186,=BIA=Fanty®#2022,01/01/1900
133757130305044480,Shadow Fox#0533,01/01/1900
270341395661717505,=BIA= Avdax#7101,20/10/2020
213971664399106053,Phantom23#1041,01/01/1900
270635274940186625,CMDR BIA Ntode#4384,01/01/1900
250703091484196865,=BIA=Heimdallr#0636,01/01/1900
170933695614550016,=BIA= Orzobimbo#2176,01/01/1900
381055216411213825,=BIA= Cavaliere89#0076,01/01/1900
470508613002330132,=BIA=spetsnatz#0879,01/01/1900
528325210370211840,Znarf#7623,01/01/1900
314880342026616844,=BIA= Crotalo#4864,01/01/1900
235750048363839488,MaxCodeJammer#7071,01/01/1900
526839126830612494,DitoSbattO#3753,01/01/1900
529796056158830603,MephyBot#0102,20/10/2099
206402887205650432,ilguisco#1487,01/01/1900
369188758639345674,blackdragon#5227,01/01/1900
367744476795633664,=BIA= FaKKo!!#5070,01/01/1900
526183559594115073,Vaylden#7973,01/01/1900
383750342975815680,=BIA= Dragonfire#8555,01/01/1900
249952280932122624,=BIA=xztorozx#7312,01/01/1900
491310884686266378,=BIA=MarkOne#9428,01/01/1900
460932734190223393,=BIA= Maycool#1183,01/01/1900
360899173719080960,=BIA= PhilCaine#1422,01/01/1900
455849368289935362,Odhinn#9330,01/01/1900
324550438953287681,samferra#5498,01/01/1900
149146845250191360,=BIA= Gear23#7128,01/01/1900
509022358284009503,=BIA= SilentAssassin#4884,01/01/1900
90515901094309888,Damballa#2658,01/01/1900
348810491361230849,Fenix#3765,01/01/1900
282200652183240714,Guastatore9509#3884,01/01/1900
300311322812350465,CMDR BIA ROS#6989,01/01/1900
353974311624900623,=BIA= ProtoZak#5937,01/01/1900
306351380870725632,Quagmire#0987,01/01/1900
423240282952171520,LorenzoDesmo#3735,01/01/1900
513803487432146946,=BIA=Henry#4911,01/01/1900
323526525645357056,=BIA=Tino1113#6902,01/01/1900
249930486917365777,=BIA=kaimano#0046,01/01/1900
322439818866851841,BlackSoul#2460,01/01/1900
506553101080330247,=BIA=Radix#3445,01/01/1900
420339390477369345,=BIA= oloflight#3502,01/01/1900
401743430017089546,Mephisto#8260,10/01/2019
